Model,[turbo3.5] n_wins,[turbo3.5] n_draws,[turbo3.5] win % vs Claude100k,[gpt4] n_wins,[gpt4] n_draws,[gpt4] win % vs Claude100k,Chunking,Retrieval,In-domain data,In-context examples,Context length
<model name>,"","","","","","","","","",,
